variable_1,variable_2,correlation
log_total_biomass,log_total_biomass,1
log_biomass_stability,log_total_biomass,0.13851117868762
community_mean_tl,log_total_biomass,-0.566990285663304
predator_share_logit,log_total_biomass,-0.20822402684957
log_biomass_yield_ratio,log_total_biomass,0.759911137301507
log_total_biomass,log_biomass_stability,0.13851117868762
log_biomass_stability,log_biomass_stability,1
community_mean_tl,log_biomass_stability,-0.238815025358264
predator_share_logit,log_biomass_stability,-0.15432519592509
log_biomass_yield_ratio,log_biomass_stability,0.234441919094751
log_total_biomass,community_mean_tl,-0.566990285663304
log_biomass_stability,community_mean_tl,-0.238815025358264
community_mean_tl,community_mean_tl,1
predator_share_logit,community_mean_tl,0.4520533188725
log_biomass_yield_ratio,community_mean_tl,-0.883913612915706
log_total_biomass,predator_share_logit,-0.20822402684957
log_biomass_stability,predator_share_logit,-0.15432519592509
community_mean_tl,predator_share_logit,0.4520533188725
predator_share_logit,predator_share_logit,1
log_biomass_yield_ratio,predator_share_logit,-0.265043062864004
log_total_biomass,log_biomass_yield_ratio,0.759911137301507
log_biomass_stability,log_biomass_yield_ratio,0.234441919094751
community_mean_tl,log_biomass_yield_ratio,-0.883913612915706
predator_share_logit,log_biomass_yield_ratio,-0.265043062864004
log_biomass_yield_ratio,log_biomass_yield_ratio,1
