Year,F
1,0.114887656
2,0.114887656
3,0.114887656
4,0.114887656
5,0.114887656
6,0.114887656
7,0.114887656
8,0.114887656
9,0.114887656
10,0.114887656
11,0.114887656
12,0.114887656
13,0.114887656
14,0.114887656
15,0.114887656
16,0.114887656
17,0.114887656
18,0.114887656
19,0.114887656
20,0.114887656
21,0.114887656
22,0.10804165
23,0.109706381
24,0.119255484
25,0.120202904
26,0.133777835
27,0.133435119
28,0.13595208
29,0.14060504
30,0.142053785
31,0.146683636
32,0.186342635
33,0.148636544
34,0.137710414
35,0.137427697
36,0.136
37,0.139074691
38,0.140262209
39,0.139714026
40,0.137993566
41,0.136439886
42,0.138958226
43,0.141922376
44,0.140827845
45,0.13114545
46,0.141933551
47,0.14235938
48,0.139049258
49,0.138610576
50,0.14084521
